School Name,Pincode,District
INDIRA VIDYANIKETHAN PS,515001,Anantpur
SREE SAI FRIENDS EM SCHOOL,515001,Anantpur
SIR CV RAMAN JR COLLEGE,515001,Anantpur
ERA ENGLISH MEDIUM SCHOOL,515004,Anantpur
ERA ENGLISH MEDIUM HIGH SCHOOL,515004,Anantpur
ST JOSEPH PUBLIC SCHOOL,515004,Anantpur
SREE PRAGATHI EMS SCHOOL,515001,Anantpur
AL-MATHEENU EM SCHOOL,515751,Anantpur
SRI BALAJI VIDYAMANDIR,515004,Anantpur
SRI BHARATHI EM SCHOOL,515001,Anantpur
SRI CHAITANYAE.M HIGH SCHOOL LAKSHMI SRINIVASA NAGAR,515004,Anantpur
SRI BHARATHI EM HIGH,515004,Anantpur
V V MODEL SCHOOL EM PS,515001,Anantpur
SRI CHAITANYA EM HS,515001,Anantpur
AFFLATUS GLOBAL SCHOOL,515002,Anantpur
AFFLATUS ENGLISH MEDIUM SCHOOL,515002,Anantpur
JORDAN EM HIGH SCHOOL,515004,Anantpur
NAVATHA EM HIGH SCHOOL,515001,Anantpur
CHILDHOOD HIGH SCHOOLRUDRAMPETA,515004,Anantpur
SRI CHAITANYA EM HIGH SCHOOLANANTAPUR,515004,Anantpur
SLN JRJR COLLEGE FOR GIRLS,515004,Anantpur
SREE SAI LITTLE CHAMPIONS EM SCHOOLS,515001,Anantpur
SRI SIVA SAI PRASANTHI EM HIGH SCHOOL,515001,Anantpur
SR JUNIOR COLLEGE FOR GIRLS,515001,Anantpur
SR JUNIOR COLLEGE,515001,Anantpur
ROOTS PUBLIC SCHOOL,515004,Anantpur
JORDAN EMUPS,515004,Anantpur
SRI PRAGATHI VIDYANIKETHAN,515004,Anantpur
ROOTS PUBLIC PS,515004,Anantpur
NAVA BHARATHI EM HS,515001,Anantpur
SRE SAI FRIENDS EM SCHOOL,515004,Anantpur
SWAMY VIVEKANANDA JUNIOR COLLEGE AKUTHOTAPALLI ANANTAPURAMU,515001,Anantpur
CHRISTO EM SCHOOL,515004,Anantpur
RISHITHA EM SCHOOL,515004,Anantpur
